N,m,trial,nd_size,Naive_ms,MTF_ms,M3_ms
10,3,12,5,0.0044009999555783,0.004259999968780903,0.0032829999554451206
10,3,13,3,0.003842000069198548,0.002375000008214556,0.0034230000665047555
10,3,14,7,0.003842000069198548,0.0037720000136687304,0.0027940000109083485
10,3,15,4,0.0027940000109083485,0.002375000008214556,0.002374000018789957
10,3,16,6,0.004259999968780903,0.0032829999554451206,0.0032829999554451206
10,3,17,3,0.0024439999606329366,0.002862999963326729,0.0024439999606329366
10,3,18,3,0.0024450000637443736,0.001396000016029575,0.0023050000663715764
10,3,19,3,0.0023039999632601393,0.0027940000109083485,0.002375000008214556
10,3,20,5,0.0034230000665047555,0.003353000010974938,0.002862999963326729
10,3,21,6,0.0027940000109083485,0.003353000010974938,0.0033520000215503387
10,3,22,5,0.002374000018789957,0.0033529998972881003,0.003353000010974938
10,3,23,6,0.003701999958138913,0.003771000024244131,0.0037709999105572933
10,3,24,4,0.004259999968780903,0.0027940000109083485,0.002375000008214556
10,3,25,6,0.002375000008214556,0.002444999950057536,0.0032819999660205212
10,3,26,8,0.001956000005520764,0.0023049999526847387,0.002374000018789957
10,3,27,7,0.002864000066438166,0.0024450000637443736,0.002375000008214556
10,3,28,6,0.003911000021616928,0.0032819999660205212,0.002375000008214556
10,3,29,6,0.0023049999526847387,0.002374000018789957,0.002375000008214556
100,3,0,31,0.0196949999917706,0.02199999994445534,0.011384000003999972
100,3,1,18,0.012921000006826944,0.008521000040673243,0.008241000045927649
100,3,2,16,0.02081299999190378,0.019904999930986378,0.008520999926986406
100,3,3,18,0.011594000056902587,0.007472999982383044,0.006775000088055094
100,3,4,10,0.011943000004066562,0.006146000032458687,0.006285000040406885
100,3,5,19,0.016134000020429085,0.009568999985276605,0.008520999926986406
100,3,6,18,0.01648299996759306,0.009918000046127418,0.009149999982582813
100,3,7,19,0.019415999986449606,0.01201300005959638,0.010407000104351027
100,3,8,18,0.014877000012347708,0.009009999985210015,0.008241000045927649
100,3,9,18,0.016133000031004485,0.012502000004133151,0.008450999985143426
100,3,10,6,0.02458500000557251,0.010546999988036987,0.00866100003804604
100,3,11,11,0.013410000065050554,0.007194000090748887,0.006635000090682297
100,3,12,12,0.017739999975674436,0.01040699999066419,0.009568999985276605
100,3,13,11,0.008520999926986406,0.005726999916078057,0.006704999918838439
100,3,14,13,0.017251000031137664,0.007613000093442679,0.006634999976995459
100,3,15,16,0.013480000006893533,0.006984000037846272,0.006705000032525277
100,3,16,10,0.009639000040806422,0.004329999910623883,0.004750000016429112
100,3,17,20,0.014318000012281118,0.008589999993091624,0.008450999985143426
100,3,18,16,0.01704099997823505,0.09442800001124851,0.009009999985210015
100,3,19,21,0.019415999986449606,0.010616000054142205,0.01096599999073078
100,3,20,22,0.014877000012347708,0.009498999929746788,0.008660000048621441
100,3,21,14,0.0108960000488878,0.005795999982183275,0.004749000027004513
100,3,22,18,0.012710999953924329,0.007683000035285659,0.0067749999743682565
100,3,23,22,0.018787000044540036,0.009637999937694985,0.009498000054009026
100,3,24,9,0.012431999948603334,0.006146999908196449,0.0061470000218832865
100,3,25,15,0.01536599995688448,0.009080000040739833,0.009428999987903808
100,3,26,20,0.015714999904048454,0.012851000064983964,0.008520999926986406
100,3,27,10,0.012432000062290172,0.005377999968914082,0.00607599997692887
100,3,28,17,0.016832000028443872,0.009918000046127418,0.008940000043367036
100,3,29,18,0.018856999986383016,0.009986999998545798,0.009148999993158213
1000,3,0,27,0.2343219999829671,0.03296599993518612,0.035270000012133096
1000,3,1,38,0.381272000026911,0.06963400005588483,0.06725799994455883
1000,3,2,23,0.17111499994371115,0.028566000082719256,0.020952999989276577
1000,3,3,26,0.24382200001582532,0.03946100002849562,0.041346999978486565
1000,3,4,38,0.2824439999358219,0.05866800006515405,0.05538599998544669
1000,3,5,20,0.17614299997603666,0.027238000029683462,0.025353000069117115
1000,3,6,33,0.3541730000051757,0.044071000047551934,0.03960099991218158
